Anos;UF;Dívida;PIB;D/P
1998;MA;2990617132.95;9380513.109;318.81167887081733
1999;MA;4088253521.07;10308256.16;396.5999154089706
2000;MA;4277805925.09;11908911.65;359.21048461972595
2001;MA;4682783637.33;13419658.02;348.9495507524118
2002;MA;5622160339.1;15448776.9;363.922683037775
2003;MA;5758776592.23;18483303.03;311.56642202332597
2004;MA;5973052086.91;21604573.02;276.4716563192694
2005;MA;5855429603.33;25334587.39;231.12393792690065
2006;MA;5803456383.55;28620251.37;202.7744728207815
2007;MA;5592409446.84;31606020.13;176.94127333456206
2008;MA;5659049338.63;38486003.5;147.04175087002733
2009;MA;5334673104.5;39854676.63;133.8531273011109
2010;MA;5261187292.06;45255942.46;116.25406534644954
2011;MA;4806486032.06;52187203.94;92.10085364193974
2012;MA;4209911737.76;58819683.0;71.57317964056352
2013;MA;4589831752.58;64257793.50566648;71.42840583493195
2014;MA;5791212596.77;71689625.32015748;80.78173893233675
2015;MA;7314129164.24;79976497.55775774;91.45348180517475
2016;MA;6981208151.56;90685349.3559083;76.9827563233086
1996;MG;13349756562.2;74151755.85;180.03291235887843
1997;MG;15697890737.39;82801477.67;189.58466900739307
1998;MG;19051838732.94;83924488.19;227.01167613685985
1999;MG;27048281980.0;89789781.72;301.2400905968034
2000;MG;29706061410.85;100612292.9;295.25280216379997
2001;MG;33146702589.48;111315303.9;297.7730952363685
2002;MG;34826794647.52;127781927.2;272.54867265392124
2003;MG;37722179752.3;148822814.7;253.47040928060076
2004;MG;42586330890.2;177324783.5;240.1600613836362
2005;MG;42972224008.44;192639229.9;223.07099146288687
2006;MG;45240046837.03;214754018.1;210.65983881132328
2007;MG;48960092341.27;241293006.1;202.9072169666587
2008;MG;55992613595.16;282520699.4;198.1894201524832
2009;MG;56405910779.31;287054747.6;196.4987907390736
2010;MG;64475764497.7;351380905.1;183.49251072522208
2011;MG;70515456730.8;386155622.3;182.6089085814665
2012;MG;75897882626.0;403551317.5;188.07492215906345
2013;MG;84473696575.67;488618763.91892797;172.88262918549304
2014;MG;89288995639.04;550769326.170346;162.11686344243512
